a 呀
fukeru 老
fukeru 耽
fukeru 酖
fuki 苳
fuki 葺
fuki 蕗
fukin 冪
fukin 巾
fukinarasu 龡
fuku 吩
fuku 吹
fuku 嘘
fuku 噓
fuku 噴
fuku 拭
fuku 葺
fuku 飂
fuku 飅
fuku 龡
fukube 瓢
fukube 葫
fukumeru 含
fukumu 含
fukumu 哺
fukumu 啣
fukumu 銜
fukuramu 膨
fukureru 脹
fukureru 膀
fukureru 膨
fukuro 嚢
fukuro 囊
fukuro 帒
fukuro 幃
fukuro 幐
fukuro 櫜
fukuro 袋
fukurou 梟
fukurou 鴞
fukusa 袱
fumaki 帙
fumi 冊
fumi 册
fumi 史
fumi 文
fumi 書
fumi 泐
fumi 籍
fumi 編
fuminijiru 轥
fumoto 梺
fumoto 麓
fumu 履
fumu 藉
fumu 趞
fumu 跆
fumu 跈
fumu 跊
fumu 跋
fumu 跕
fumu 践
fumu 踄
fumu 踏
fumu 踐
fumu 踔
fumu 踖
fumu 踶
fumu 蹂
fumu 蹈
fumu 躅
fumu 躔
fumu 躙
fumu 躡
fumu 躢
fumu 躪
funa 鮒
funa 鯽
funabata 舷
funabata 艆
funashiuzu 鵐
funashiuzu 鹀
funashiuzura 鶕
funayosooi 檥
funayosooi 艤
fundoshi 裈
fundoshi 褌
fune 舟
fune 舩
fune 舸
fune 船
fune 艆
fune 艇
fune 艖
fune 艘
fune 艚
fune 艧
funenoho 栙
funenoho 欆
fure 触
furebumi 檄
fureru 嬰
fureru 揬
fureru 擣
fureru 牴
fureru 觝
fureru 触
fureru 觸
furi 振
furi 飌
furitsuzumi 鼗
furu 振
furu 降
furu 零
furubi 籭
furueru 震
furueru 顫
furui 古
furui 旧
furui 篩
furui 簛
furui 舊
furui 陳
furusato 郷
furusato 鄉
furusato 鄕
furuu 奮
furuu 抖
furuu 振
furuu 掉
furuu 揮
furuu 震
furuzake 醔
fusa 房
fusa 総
fusa 縂
fusa 總
fusagaru 咉
fusagaru 沌
fusagaru 窒
fusagaru 阨
fusagaru 阸
fusagu 堙
fusagu 塞
fusagu 塡
fusagu 填
fusagu 壅
fusagu 怫
fusagu 杜
fusagu 湮
fusagu 窒
fusagu 錮
fusagu 閼
fusagu 雍
fusego 篝
fusegu 扞
fusegu 抗
fusegu 拒
fusegu 捍
fusegu 禦
fusegu 防
fusegu 障
fuseru 伏
fuseru 俛
fuseru 俯
fuseru 偃
fushi 樶
fushi 節
fushi 莭
fushizuke 枋
fushizuke 栫
fushizuke 罧
fusu 廢
fusu 臥
fusuberu 熏
fusuberu 燻
fusuma 衾
fusuma 襖
fusuma 麩
fusuma 麬
fusuma 麸
futa 乢
futa 盖
futa 葢
futa 蓋
futa 雙
futamono 盒
futatabi 二
futatabi 再
futatabi 複
futatsu 両
futatsu 两
futatsu 二
futatsu 兩
futatsu 双
futatsu 弍
futatsu 弐
futatsu 貮
futatsu 貳
futatsu 雙
futoi 太
futokoro 懐
futokoro 懷
futoru 太
futsu 韴
fuyasu 増
fuyasu 增
fuyasu 殖
fuyu 冬
fuza 櫖
ga 蛾
gaaru 劽
gaenji 肯
gaenjiru 肎
gagaimo 芄
gake 厂
gake 厓
gake 垳
gake 崕
gake 崖
gake 崿
gaku 匾
gama 蒲
gama 蟆
gamazumi 蒾
gan 癌
gandare 厈
ganki 鮊
ganki 鲌
gara 柄
garon 呏
garon 嗧
garyuumu 鎵
gatotonou 劦
gawaku 熯
gazami 蟳
gerumanyuumu 鈤
gigi 鯤
gigi 鱨
go 棊
go 棋
go 檱
go 粔
goisagi 鶄
goishi 棊
goishi 檱
gomakasu 婾
gomakasu 媮
gomame 鱓
gomame 鱔
gomi 埖
gonben 訁
gori 鮴
gotoku 如
gouman 娨
goza 蓙
gozaru 厶
gumi 茱
guramu 瓦
gururitomegurashitakaki 寏
ha 刃
ha 刄
ha 垪
ha 歯
ha 牙
ha 端
ha 羽
ha 葉
ha 齒
ha 羽
haba 巾
haba 幅
haba 掵
habakari 憚
habakaru 憚
habaki 鈨
habaki 鎺
habamu 沮
habamu 阻
habataki 翽
habataku 奞
haberu 侍
haberu 偤
haberu 傔
haberu 婐
haberu 婑
habikoru 愌
habikoru 滔
habikoru 芼
habikoru 衍
habuku 省
hachi 壎
hachi 柈
hachi 椀
hachi 樏
hachi 盂
hachi 盆
hachi 盎
hachi 盔
hachi 范
hachi 蜂
hachi 蠭
hachi 鉢
hachimaki 帩
hachimaki 幧
hachimitsu 蜜
hada 肌
hada 膚
hadagi 衫
hadagi 袢
hadagi 裯
hadagi 褙
hadagi 襦
hadagi 襯
hadahe 膎
hadaka 俴
hadaka 倮
hadaka 臝
hadaka 裎
hadaka 裸
hadanugi 襢
hadanugu 裼
hadashi 跣
hadashi 踱
hadome 軔
hae 榮
hae 蝿
hae 蠅
hae 鯈
hae 鲉
haeru 映
haeru 暎
haeru 栄
haeru 生
haezumi 掽
hafuri 祝
hagane 鉅
hagane 鋼
hagane 鑌
hagareru 黵
hage 矤
hage 禿
hage 秃
hagemasu 励
